<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.20	00:00:00	1.17684	1.18407	1.17600	1.18222	67811	0	50
2020.10.21	00:00:00	1.18182	1.18808	1.18182	1.18611	80980	0	50
2020.10.22	00:00:00	1.18617	1.18669	1.18116	1.18186	71682	0	50
2020.10.23	00:00:00	1.18165	1.18648	1.17868	1.18598	70773	0	50
2020.10.26	00:00:00	1.18531	1.18594	1.18033	1.18093	138605	0	50
2020.10.27	00:00:00	1.18083	1.18388	1.17928	1.17953	121111	0	50
2020.10.28	00:00:00	1.17951	1.17972	1.17179	1.17462	151616	0	50
2020.10.29	00:00:00	1.17461	1.17588	1.16502	1.16729	164819	0	50
2020.10.30	00:00:00	1.16738	1.17042	1.16399	1.16464	140225	0	50
2020.11.02	00:00:00	1.16470	1.16556	1.16225	1.16401	116535	0	50
2020.11.03	00:00:00	1.16402	1.17399	1.16239	1.17199	106086	0	50
2020.11.04	00:00:00	1.17128	1.17706	1.16033	1.17230	312381	0	50
2020.11.05	00:00:00	1.17243	1.18598	1.17109	1.18275	224412	0	50
2020.11.06	00:00:00	1.18242	1.18910	1.17954	1.18754	215436	0	50
2020.11.09	00:00:00	1.18893	1.19201	1.17954	1.18135	254885	0	50
2020.11.10	00:00:00	1.18128	1.18433	1.17799	1.18172	240475	0	50
2020.11.11	00:00:00	1.18125	1.18327	1.17455	1.17788	131960	0	50
2020.11.12	00:00:00	1.17768	1.18233	1.17586	1.18055	142787	0	50
2020.11.13	00:00:00	1.18026	1.18375	1.17990	1.18329	118667	0	50
2020.11.16	00:00:00	1.18401	1.18688	1.18142	1.18538	123477	0	50
2020.11.17	00:00:00	1.18505	1.18938	1.18429	1.18610	106954	0	50
2020.11.18	00:00:00	1.18615	1.18911	1.18491	1.18543	105355	0	50
2020.11.19	00:00:00	1.18525	1.18826	1.18163	1.18734	112334	0	50
2020.11.20	00:00:00	1.18742	1.18908	1.18497	1.18593	96387	0	50
2020.11.23	00:00:00	1.18526	1.19060	1.18001	1.18410	106563	0	50
2020.11.24	00:00:00	1.18405	1.18960	1.18339	1.18927	109839	0	50
2020.11.25	00:00:00	1.18889	1.19299	1.18818	1.19138	129385	0	50
2020.11.26	00:00:00	1.19161	1.19410	1.18853	1.19130	73930	0	50
2020.11.27	00:00:00	1.19124	1.19632	1.19066	1.19606	85451	0	50
2020.11.30	00:00:00	1.19610	1.20033	1.19238	1.19258	116412	0	50
2020.12.01	00:00:00	1.19253	1.20766	1.19234	1.20719	129942	0	50
2020.12.02	00:00:00	1.20660	1.21184	1.20400	1.21155	136573	0	50
2020.12.03	00:00:00	1.21125	1.21746	1.21011	1.21479	103844	0	50
2020.12.04	00:00:00	1.21436	1.21774	1.21101	1.21203	92376	0	50
2020.12.07	00:00:00	1.21298	1.21656	1.20785	1.21090	90762	0	50
2020.12.08	00:00:00	1.21089	1.21340	1.20955	1.21046	86317	0	50
2020.12.09	00:00:00	1.21023	1.21473	1.20590	1.20814	84430	0	50
2020.12.10	00:00:00	1.20769	1.21588	1.20740	1.21416	99476	0	50
2020.12.11	00:00:00	1.21359	1.21629	1.21054	1.21126	86534	0	50
2020.12.14	00:00:00	1.21348	1.21767	1.21156	1.21426	58718	0	50
2020.12.15	00:00:00	1.21437	1.21689	1.21220	1.21527	57997	0	50
2020.12.16	00:00:00	1.21477	1.22122	1.21253	1.21992	64475	0	50
2020.12.17	00:00:00	1.21985	1.22727	1.21900	1.22670	59834	0	50
2020.12.18	00:00:00	1.22672	1.22709	1.22256	1.22541	56156	0	50
2020.12.21	00:00:00	1.22199	1.22528	1.21294	1.22431	88201	0	50
2020.12.22	00:00:00	1.22398	1.22567	1.21521	1.21627	71899	0	50
2020.12.23	00:00:00	1.21620	1.22211	1.21538	1.21861	68274	0	50
2020.12.24	00:00:00	1.21821	1.22156	1.21772	1.21844	42842	0	50
2020.12.28	00:00:00	1.21820	1.22507	1.21793	1.22146	61410	0	50
2020.12.29	00:00:00	1.22114	1.22751	1.22068	1.22495	57895	0	50
2020.12.30	00:00:00	1.22473	1.23099	1.22420	1.22997	61353	0	50
2020.12.31	00:00:00	1.22951	1.23093	1.22092	1.22155	57234	0	50
2021.01.04	00:00:00	1.22391	1.23099	1.22275	1.22520	83109	0	50
2021.01.05	00:00:00	1.22476	1.23057	1.22433	1.22984	77921	0	50
2021.01.06	00:00:00	1.22903	1.23494	1.22657	1.23262	101730	0	50
2021.01.07	00:00:00	1.23251	1.23442	1.22449	1.22693	77598	0	50
2021.01.08	00:00:00	1.22702	1.22843	1.21932	1.22218	83002	0	50
2021.01.11	00:00:00	1.22156	1.22212	1.21322	1.21502	73328	0	50
2021.01.12	00:00:00	1.21487	1.22097	1.21381	1.22077	68217	0	50
2021.01.13	00:00:00	1.22066	1.22228	1.21401	1.21578	65545	0	50
2021.01.14	00:00:00	1.21568	1.21784	1.21111	1.21532	72178	0	50
2021.01.15	00:00:00	1.21519	1.21626	1.20750	1.20770	63842	0	50
2021.01.18	00:00:00	1.20822	1.20867	1.20543	1.20756	49991	0	50
2021.01.19	00:00:00	1.20747	1.21450	1.20740	1.21284	57136	0	50
2021.01.20	00:00:00	1.21278	1.21582	1.20768	1.21056	62484	0	50
2021.01.21	00:00:00	1.21048	1.21732	1.21018	1.21678	65093	0	50
2021.01.22	00:00:00	1.21605	1.21896	1.21516	1.21705	58955	0	50
2021.01.25	00:00:00	1.21658	1.21832	1.21160	1.21415	64551	0	50
2021.01.26	00:00:00	1.21384	1.21758	1.21079	1.21599	63113	0	50
2021.01.27	00:00:00	1.21598	1.21698	1.20584	1.21120	78411	0	50
2021.01.28	00:00:00	1.21095	1.21418	1.20807	1.21222	84323	0	50
2021.01.29	00:00:00	1.21177	1.21559	1.20943	1.21356	85496	0	50
2021.02.01	00:00:00	1.21278	1.21365	1.20561	1.20603	75865	0	50
2021.02.02	00:00:00	1.20595	1.20875	1.20116	1.20430	67260	0	50
2021.02.03	00:00:00	1.20433	1.20501	1.20042	1.20352	58417	0	50
2021.02.04	00:00:00	1.20358	1.20428	1.19576	1.19610	61143	0	50
2021.02.05	00:00:00	1.19619	1.20499	1.19523	1.20494	58787	0	50
2021.02.08	00:00:00	1.20364	1.20659	1.20198	1.20498	51528	0	50
2021.02.09	00:00:00	1.20429	1.21218	1.20429	1.21196	57856	0	50
2021.02.10	00:00:00	1.21176	1.21440	1.21087	1.21182	55805	0	50
2021.02.11	00:00:00	1.21176	1.21493	1.21135	1.21315	43834	0	50
2021.02.12	00:00:00	1.21282	1.21340	1.20815	1.21188	63024	0	50
2021.02.15	00:00:00	1.21243	1.21451	1.21157	1.21270	64656	0	50
2021.02.16	00:00:00	1.21274	1.21693	1.20950	1.21035	73661	0	50
2021.02.17	00:00:00	1.21061	1.21073	1.20233	1.20414	65830	0	50
2021.02.18	00:00:00	1.20311	1.20946	1.20311	1.20933	68909	0	50
2021.02.19	00:00:00	1.20892	1.21445	1.20823	1.21175	55617	0	50
