date,open,high,low,close,volume
2019-07-17 20:00:00,15.898,15.946,15.883,15.945,864
2019-07-17 21:00:00,15.945,15.974,15.923,15.927,685
2019-07-17 22:00:00,15.927,15.958,15.927,15.954,672
2019-07-17 23:00:00,15.954,15.966,15.944,15.961,376
2019-07-18 01:00:00,15.938,15.96,15.903,15.955,200
2019-07-18 02:00:00,15.955,15.956,15.921,15.922,250
2019-07-18 03:00:00,15.921,15.963,15.878,15.958,494
2019-07-18 04:00:00,15.958,16.097,15.954,16.068,2364
2019-07-18 05:00:00,16.068,16.102,16.056,16.092,924
2019-07-18 06:00:00,16.091,16.102,16.079,16.09,396
2019-07-18 07:00:00,16.09,16.093,16.062,16.076,371
2019-07-18 08:00:00,16.074,16.084,16.001,16.067,761
2019-07-18 09:00:00,16.067,16.076,15.945,15.949,1174
2019-07-18 10:00:00,15.946,16.028,15.946,16.018,1087
2019-07-18 11:00:00,16.016,16.101,16.008,16.085,993
2019-07-18 12:00:00,16.085,16.101,16.052,16.061,322
2019-07-18 13:00:00,16.066,16.083,16.025,16.036,800
2019-07-18 14:00:00,16.036,16.114,16.006,16.109,1022
2019-07-18 15:00:00,16.109,16.15,16.034,16.086,2230
2019-07-18 16:00:00,16.082,16.116,16.015,16.031,2182
2019-07-18 17:00:00,16.032,16.129,16.031,16.06,2059
2019-07-18 18:00:00,16.06,16.18,16.05,16.18,2032
2019-07-18 19:00:00,16.178,16.198,16.125,16.133,1174
2019-07-18 20:00:00,16.134,16.18,16.112,16.167,993
2019-07-18 21:00:00,16.167,16.278,16.167,16.278,2245
2019-07-18 22:00:00,16.278,16.334,16.27,16.319,2416
2019-07-18 23:00:00,16.319,16.327,16.298,16.324,360
2019-07-19 01:00:00,16.346,16.389,16.259,16.274,981
2019-07-19 02:00:00,16.274,16.333,16.274,16.309,600
2019-07-19 03:00:00,16.309,16.332,16.291,16.295,861
2019-07-19 04:00:00,16.294,16.427,16.291,16.419,2365
2019-07-19 05:00:00,16.419,16.451,16.4,16.411,926
2019-07-19 06:00:00,16.411,16.421,16.403,16.403,521
2019-07-19 07:00:00,16.403,16.403,16.375,16.382,245
2019-07-19 08:00:00,16.382,16.45,16.382,16.407,821
2019-07-19 09:00:00,16.407,16.446,16.367,16.404,1630
2019-07-19 10:00:00,16.402,16.415,16.391,16.411,1037
2019-07-19 11:00:00,16.411,16.426,16.397,16.397,616
2019-07-19 12:00:00,16.392,16.397,16.359,16.376,1035
2019-07-19 13:00:00,16.376,16.382,16.304,16.31,749
2019-07-19 14:00:00,16.31,16.32,16.23,16.317,967
2019-07-19 15:00:00,16.317,16.376,16.31,16.342,1847
2019-07-19 16:00:00,16.341,16.571,16.335,16.504,3137
2019-07-19 17:00:00,16.504,16.532,16.1,16.171,4955
